"authyr","parameter","int1","parameter.scale","ref.pt.est.desc","units.outcome","pt.est","ci.lower","ci.upper","scale"
"Chong, Gonzalez-Navarro, Karlan, and Valdivia, NA","Spillover effect conditional on treatment density",NA,"RD","Regression coefficient","condom voucher redemption at 6 months",-0.156,-0.273597839072403,-0.0384021609275968,NA
"German, NA","Spillover effect among social network members",NA,"RD","Mean difference","CES-D score",-0.092,-0.18,-0.01,NA
"German, NA","Spillover effect among social network members",NA,"RD","Mean difference","CES-D score",-0.095,-0.18,-0.01,NA
"Miguel & Kremer, NA","Overall effect conditional on number of social network links",NA,"RD","Regression coefficient","likelihood that the respondent’s child took deworming drugs in 2001",-0.031,-0.0584394957835608,-0.00356050421643925,NA
"Janssens, NA","Cluster-level spillover effect",NA,"RD","Probability difference","probability of tuberculosis immunization",0.149,0.0529617647575374,0.245038235242463,NA
"Janssens, NA","Cluster-level spillover effect",NA,"RD","Regression coefficient","probability of DTP immunization ",0.122,0.0240018007729973,0.219998199227003,NA
"Janssens, NA","Cluster-level spillover effect",NA,"RD","Regression coefficient","probability of measles immunization ",0.268,0.170001800772997,0.365998199227003,NA
"Janssens, NA","Cluster-level spillover effect in which controls are matched to the untreated",NA,"RD","Regression coefficient","probability of tuberculosis immunization ",0.108,0.0590009003864987,0.156999099613501,NA
"Janssens, NA","Cluster-level spillover effect in which controls are matched to the untreated",NA,"RD","Regression coefficient","probability of DTP immunization ",0.09,0.0449208283555788,0.135079171644421,NA
"Janssens, NA","Cluster-level spillover effect in which controls are matched to the untreated",NA,"RD","Regression coefficient","probability of measles immunization ",0.089,0.0419608643710387,0.136039135628961,NA
"Dupas, 2006","Spillover effect conditional on treatment density","Information about HIV transmission","RD","Regression coefficient","probability girl ever had sex and ever used a condom",0.476,0.11144669887555,0.84055330112445,NA
"Dupas, 2006","Spillover effect conditional on treatment density","Information about HIV transmission","RD","Regression coefficient","probability girl ever had sex and ever used a condom",-0.388,-0.797632472768871,0.0216324727688712,NA
"Dupas, 2006","Spillover effect conditional on treatment density","Information about HIV transmission","RD","Regression coefficient","probability boy ever had sex and ever used a condom",0.109,-0.25359333713991,0.47159333713991,NA
"Dupas, 2006","Spillover effect conditional on treatment density","Information about HIV transmission","RD","Regression coefficient","probability boy ever had sex and ever used a condom",0.042,-0.387232112614272,0.471232112614272,NA
"Azad et al., 2010","Cluster-spillover effect conditional on exposure to treatment","Women's groups and health service strengthening","",NA,"Neonatal mortality among women exposed to women's groups who did not participate in them but who heard of them",-0.00482392691492918,NA,NA,NA
"Azad et al., 2010","Cluster-spillover effect conditional on exposure to treatment","Women's groups and health service strengthening","",NA,"Neonatal mortality among women exposed to women's groups who did not participate in them but who had not heard of them",-0.00405020446682044,NA,NA,NA
"Singh, Year not listed","Cluster-level spillover effect","Nutrition education","RD","Regression coefficient","weight-for-age z-score",0.013,-0.0673585233661422,0.0933585233661422,NA
"Bjorkman et al., NA","Overall effect conditional on distance",NA,"RD","Regression coefficient","no. of patients visiting the facility per month for outpatient care",68.1,-51.0658102600353,187.265810260035,NA
"Bjorkman et al., NA","Overall effect conditional on distance",NA,"RD","Regression coefficient","no. of deliveries at the facility per month",2.6,-5.43585233661422,10.6358523366142,NA
